,videoId,videoTitle,videoDescription,videoUrl,videoPublishedTime,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,s__sV0JTW9k,Inside Nigeria&#39;s Push to End Police Brutality,Nigerians organize protests at home and in expatriate Nigerian communities around the world to put an end to the brutality caused by the Special Anti-Robbery ...,https://www.youtube.com/watch?v=s__sV0JTW9k,21:00:10,160706,3791,160,0,927
1,9U110_p92jE,#EndSARS: Witness Plays Video That Claims Army Shot Protesters At Lekki Toll Gate,#ChannelsTv.,https://www.youtube.com/watch?v=9U110_p92jE,15:00:27,32415,0,0,0,0
2,8NH9MXuBQr4,#EndSARS – Nigerias Kampf gegen Korruption und Polizeigewalt I #trending,"Das Video eines unschuldigen Passanten, der von der nigerianischen Polizei-Einheit SARS niedergeschossen wird, ging im letzten Herbst viral - tausende ...",https://www.youtube.com/watch?v=8NH9MXuBQr4,15:35:53,26773,849,72,0,289
3,FLasT1ohvpw,END SARS PROTEST,instagram @mcluving_productions.,https://www.youtube.com/watch?v=FLasT1ohvpw,12:18:59,18,0,0,0,0
4,TK51buvzjxc,NIGERIAN POLICE FINALLY BOWS WITH PRESSURE OF THE NEW END SARS PROTETERS AT LEKKI TOLL GATE,NIGERIAN POLICE FINALLY BOWS WITH PRESSURE OF THE NEW END SARS PROTETERS AT LEKKI TOLL GATE Gbefilatv is an Entertainment channel ...,https://www.youtube.com/watch?v=TK51buvzjxc,13:42:24,30937,215,16,0,121
5,UgLdLXzlNFE,End SARS Protest Part 2 Begins!! | Occupy Lekki Toll Gate Protesters Get Arr£$ted | Full Update,End SARS Protest Part 2 Begins!! | Occupy Lekki Toll Gate Protesters Get Arr£$ted | Full Update #Endsars #protest #Lagos #nigeria #news #occupylekkitollgate.,https://www.youtube.com/watch?v=UgLdLXzlNFE,11:19:37,3698,50,1,0,25
6,RoOBOFOJ3YU,#EndSARS Is Back To End Nigeria🇳🇬,OccupyLekkiTollGate #EndSARS NIGERIAN youths to resume endsars protest over lekki Tollgate reopening.,https://www.youtube.com/watch?v=RoOBOFOJ3YU,13:39:05,7913,496,6,0,35
7,eh2CwOG3AHk,#EndSARS Coordinator Plays Videos Showing Protesters Allegedly Shot By Soldiers,#ChannelsTv.,https://www.youtube.com/watch?v=eh2CwOG3AHk,12:26:14,25895,0,0,0,0
8,ds-aUcN2CdY,End SARS 2021 Protest Again In Nigeria As Experts Question President Buhari Response,End SARS 2021 Protest Again In Nigeria As Experts Question President Buhari Response #ENDSARS #LekkiTollGate #OccupyLekkiTollGate Bolatito Rinu ...,https://www.youtube.com/watch?v=ds-aUcN2CdY,19:12:46,308,15,1,0,0
9,3_fmEE8WwfE,END SARS - LATEST 2021 NIGERIAN SHORT FILM,Mind-blowing TOP NIGERIAN MOVIES 2019 | TRENDING MOVIES 2019 | AFRICAN MOVIES 2019 | NOLLYWOOD MOVIES 2019 NIGERIAN MOVIES ...,https://www.youtube.com/watch?v=3_fmEE8WwfE,18:45:01,22,0,0,0,0
